date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-01-01,Adana,9.08,11.5,5.0,16.6,27.7,7.6,30.0,64.62,2.56,1020.72,0.0,0
2019-01-02,Adana,9.67,11.0,9.0,15.5,20.5,9.4,20.0,83.62,6.93,1014.19,0.0,0
2019-01-03,Adana,11.05,14.0,8.5,9.19,18.4,1.8,30.0,83.12,8.18,1015.48,0.0,0
2019-01-04,Adana,12.93,15.0,10.7,8.5,18.4,1.8,180.0,91.67,11.59,1018.0,0.0,0
2019-01-05,Adana,11.07,13.0,10.0,11.97,20.5,3.6,30.0,93.67,10.1,1013.44,0.0,0
2019-01-06,Adana,8.38,10.0,4.0,8.9,22.3,0.0,50.0,89.54,6.72,1004.75,0.0,0
2019-01-07,Adana,7.26,12.5,1.0,9.89,18.4,0.0,30.0,68.71,1.32,1013.35,0.0,0
2019-01-08,Adana,6.51,8.0,5.0,12.51,22.3,3.6,20.0,87.92,4.64,1007.29,0.0,0
2019-01-09,Adana,6.03,11.0,2.0,7.86,13.0,0.0,30.0,61.54,-1.77,1017.12,0.0,0
2019-01-10,Adana,7.02,11.0,3.0,9.88,14.8,1.8,20.0,61.12,-0.07,1026.61,0.0,0
2019-01-11,Adana,9.05,13.0,5.0,9.86,14.8,5.4,30.0,62.33,1.93,1023.61,0.0,0
2019-01-12,Adana,9.83,14.2,5.0,14.78,22.3,0.0,40.0,57.33,1.47,1015.28,0.0,0
2019-01-13,Adana,10.45,14.0,8.0,19.58,29.5,9.4,20.0,52.5,1.05,1007.31,0.0,0
2019-01-14,Adana,9.26,14.0,3.2,9.3,18.4,0.0,30.0,69.17,3.45,1008.95,0.0,0
2019-01-15,Adana,10.9,15.0,8.0,24.73,37.1,9.4,170.0,82.92,7.92,1006.38,0.0,0
2019-01-16,Adana,11.08,14.0,8.0,17.5,29.5,3.6,190.0,67.62,4.8,1001.6,0.0,0
2019-01-17,Adana,8.94,13.0,5.0,19.3,37.1,7.6,340.0,36.71,-5.29,1016.29,0.0,0
2019-01-18,Adana,7.0,13.0,1.0,6.78,14.8,0.0,40.0,62.54,-0.21,1022.63,0.0,0
2019-01-19,Adana,6.98,13.0,1.6,3.2,11.2,0.0,0.0,66.71,0.51,1023.55,0.0,0
2019-01-20,Adana,8.5,14.0,2.6,7.92,18.4,0.0,30.0,60.62,0.74,1023.07,0.0,0
2019-01-21,Adana,10.08,14.5,6.0,14.01,22.3,7.6,30.0,51.58,0.35,1020.5,0.0,0
